Value 1,Value 2,Value 3,Value 4,Value 5,Value 6,Value 7,Value 8,Value 9,Value 10
2,31,6,104,44,1,2,1,27,8
1,16,5,949,4,1,5,2,13,1
1,38,6,682,56,2,5,2,87,2
1,35,7,760,182,2,5,2,21,0
1,89,4,615,72,1,5,1,91,7
2,44,5,171,115,1,2,2,0,9
2,33,4,162,152,2,5,2,44,10
1,68,0,316,86,1,5,1,65,7
2,72,5,741,109,2,1,1,104,7
2,0,9,203,189,1,5,2,97,10
2,63,10,989,131,1,4,2,38,7
2,39,1,669,168,1,5,1,58,1
2,64,10,578,43,2,1,1,21,4
1,86,8,397,147,2,4,2,77,7
2,53,7,814,75,1,2,1,102,1
1,25,10,694,16,2,2,1,40,9
2,85,1,836,27,2,5,1,73,3
2,57,3,147,35,2,1,2,10,1
2,54,9,969,22,1,4,1,2,4
2,83,10,376,68,1,5,1,30,3
2,100,3,670,158,1,5,1,51,9
2,17,10,730,30,1,5,2,47,10
1,43,10,354,39,1,5,1,64,7
1,22,3,517,94,2,4,1,34,0
2,73,9,794,18,1,3,1,51,7
2,9,6,720,132,2,5,1,51,9
2,36,2,640,174,1,3,2,59,9
2,0,8,927,107,1,0,1,83,9
1,69,1,314,41,1,1,1,84,10
2,39,7,253,47,2,0,2,56,6
1,62,7,285,151,2,0,2,66,0
1,93,1,715,62,1,1,2,78,1
1,77,7,478,66,1,5,1,74,6
2,82,8,819,51,1,5,1,19,5
1,62,3,60,76,2,3,1,90,0
1,85,0,482,177,2,3,2,42,3
2,60,7,608,149,1,5,2,31,5
1,37,0,259,174,2,4,2,4,4
1,64,7,127,45,1,2,1,28,10
2,62,1,958,73,2,0,2,9,5
1,79,3,174,140,1,2,2,99,1
1,57,9,755,101,2,5,1,59,9
2,26,0,624,26,2,0,2,24,6
2,16,4,397,182,2,3,2,1,8
2,4,9,293,11,2,1,2,61,7
1,57,2,772,171,1,4,1,73,10
2,81,7,485,9,1,3,2,48,10
2,73,2,681,65,1,0,2,22,1
1,8,7,518,89,1,0,1,16,8
1,45,9,402,192,1,2,2,99,8
1,59,1,452,70,2,0,2,72,2
1,25,6,54,185,1,3,1,74,10
1,83,6,323,147,1,1,2,13,5
2,8,1,754,163,1,4,2,18,5
1,63,6,84,191,1,2,2,66,10
1,84,7,801,156,1,4,1,70,4
2,59,5,695,177,1,2,1,28,1
2,62,0,263,133,1,2,1,31,10
1,51,5,762,108,2,4,1,53,2
1,80,0,516,69,2,2,1,98,0
2,99,2,130,72,1,3,1,71,10
1,71,8,567,159,1,4,1,18,5
1,87,2,922,105,1,4,1,79,5
1,74,8,823,112,1,5,1,41,4
2,31,3,453,53,1,0,1,105,2
1,62,8,150,50,2,2,2,80,1
2,88,6,103,108,1,3,1,7,5
1,93,2,790,116,2,0,2,18,5
2,34,6,838,7,1,1,1,53,2
2,86,4,148,169,2,4,2,9,6
2,4,4,553,110,1,5,1,77,1
2,9,4,614,2,2,0,1,10,3
2,46,9,885,77,2,1,1,74,4
1,87,5,558,33,1,2,2,92,0
2,0,9,513,143,1,5,1,62,9
2,0,5,399,92,2,0,1,59,2
1,62,10,622,195,2,3,1,64,3
1,0,3,320,23,1,0,2,44,9
2,43,2,572,135,1,0,2,44,1
1,3,1,222,191,1,0,1,66,6
1,70,4,993,88,1,4,1,4,1
1,52,10,609,147,1,1,1,81,10
2,25,6,743,188,2,3,1,8,2
2,98,7,975,32,1,2,1,29,1
1,22,0,960,129,2,3,1,65,2
1,19,1,61,82,2,2,2,68,1
2,12,5,353,136,1,2,2,87,6
2,79,2,157,134,2,5,2,34,0
2,87,3,844,40,1,2,1,60,6
1,10,7,913,160,2,5,2,84,9
1,97,4,301,173,2,5,2,79,1
1,3,8,203,26,1,3,1,92,10
2,91,5,173,130,1,1,2,6,7
1,97,5,471,80,1,5,2,25,1
1,48,0,920,186,2,5,1,35,4
2,66,6,528,180,1,5,1,41,2
1,14,8,690,77,2,2,2,66,0
2,72,4,88,70,2,2,2,89,3
1,89,8,918,6,1,1,1,34,8
1,85,8,160,167,1,5,1,99,10
2,2,5,340,6,1,0,2,7,5
1,61,9,734,194,1,0,1,66,4
1,41,6,243,124,2,5,2,22,8
1,89,8,320,135,2,2,1,68,5
1,67,5,854,39,1,0,2,64,2
2,82,1,419,65,1,4,2,54,2
1,4,2,311,173,2,4,1,19,0
1,31,2,482,76,1,2,2,82,0
1,50,5,231,34,1,3,1,60,9
1,25,1,386,29,2,0,1,30,8
2,36,2,84,15,1,2,2,24,7
1,25,9,52,140,1,5,2,79,5
2,24,8,179,14,1,5,2,64,3
1,43,7,693,86,1,3,1,61,10
1,38,8,300,132,2,2,1,46,5
1,41,10,478,62,2,4,1,100,7
2,33,10,162,10,2,4,2,72,1
2,7,1,473,71,1,0,2,103,4
2,58,8,217,141,1,1,2,53,3
2,96,5,403,134,1,5,1,34,4
2,26,3,550,115,2,4,1,102,0
2,11,3,305,176,1,5,1,58,1
2,33,2,603,103,1,1,1,24,1
1,30,6,729,39,1,1,1,90,0
2,82,10,864,179,1,3,1,10,5
1,71,1,625,145,1,1,1,53,5
1,12,7,249,189,2,1,2,73,4
1,46,9,150,104,2,2,2,93,4
1,71,6,46,154,1,2,2,65,6
1,62,6,105,122,2,3,1,22,1
2,46,3,439,181,2,5,2,33,10
2,92,10,146,163,2,1,1,32,5
2,10,9,722,83,1,3,2,39,3
1,38,0,98,188,1,3,1,36,6
1,42,4,679,83,1,4,1,41,2
2,53,3,819,105,1,5,2,56,6
2,21,6,282,88,2,2,1,97,4
1,28,6,360,102,2,3,1,70,10
1,26,2,139,134,2,3,1,68,5
1,38,1,211,10,1,3,1,42,6
1,65,3,36,35,2,5,2,58,1
1,76,8,628,53,2,2,2,7,4
1,24,5,634,110,2,3,1,65,2
1,96,2,371,111,1,0,1,86,3
1,74,2,730,21,1,3,1,74,8
1,80,2,265,5,2,2,2,71,8
1,29,5,611,78,1,0,1,88,4
2,54,8,538,110,1,0,1,88,6
1,78,4,209,175,2,0,2,73,5
1,47,10,351,32,1,0,1,28,9
2,5,5,756,156,2,2,2,37,6
1,99,0,969,0,2,4,2,46,9
2,51,4,615,42,1,1,2,33,4
1,77,6,35,171,2,3,2,50,10
2,30,4,893,147,1,5,1,5,3
2,49,4,892,111,1,4,1,36,4
1,15,5,641,35,2,5,1,46,6
2,46,4,335,101,1,1,2,6,8
1,27,6,389,92,1,4,2,37,2
1,62,10,375,120,1,2,1,75,5
2,82,1,76,123,2,0,1,28,7
2,66,3,11,49,1,4,1,21,10
2,13,1,65,196,1,2,2,74,10
1,38,5,344,14,1,1,1,28,10
1,51,5,54,32,1,3,1,79,1
2,20,2,746,124,1,1,2,74,8
2,23,3,80,134,2,0,2,52,6
2,86,0,604,119,2,1,1,95,0
1,84,3,824,57,1,5,2,30,2
1,98,1,144,88,2,4,2,96,2
2,77,4,453,93,1,1,1,20,0
2,83,4,80,50,1,4,2,103,4
1,65,0,432,85,1,3,1,61,4
2,22,10,634,65,1,0,2,62,9
2,55,1,744,100,1,4,1,7,9
2,75,1,242,92,2,0,2,91,9
2,32,4,607,166,2,3,2,102,1
2,14,2,149,173,1,3,1,87,1
2,98,0,555,44,1,0,1,18,5
1,31,6,916,70,1,2,1,74,2
2,11,0,787,7,1,5,2,45,3
2,56,5,411,88,1,2,2,35,7
2,58,7,1,48,1,4,1,51,3
2,77,10,230,125,1,0,1,28,5
1,4,5,138,18,2,1,1,46,6
1,33,4,655,115,1,3,2,62,6
1,84,8,374,115,1,1,1,70,5
1,47,6,551,159,2,3,1,66,7
1,45,0,706,145,2,5,1,100,2
2,17,6,983,8,2,3,1,33,8
1,82,7,904,117,2,2,1,37,1
1,58,6,418,16,2,1,1,83,0
1,26,7,788,26,1,0,1,29,9
2,30,6,743,53,1,1,1,23,7
1,61,7,5,84,1,4,1,73,0
2,76,9,772,132,1,2,2,83,8
1,96,9,192,64,1,2,1,37,1
1,68,0,984,87,1,4,1,16,1
2,76,5,478,55,2,4,1,95,0
2,78,10,404,35,2,0,2,96,5
1,98,4,41,82,1,1,2,42,3
2,98,8,101,10,1,2,2,74,3
2,4,5,328,136,2,4,2,12,3
2,64,9,84,125,2,1,2,43,5
1,20,10,566,188,2,0,2,26,0
1,16,8,791,134,1,1,2,34,6
2,51,4,399,72,2,1,2,12,2
1,9,4,437,52,2,3,2,88,3
1,5,7,587,140,2,1,2,58,0
2,100,10,25,7,2,4,2,51,7
1,3,3,310,109,1,0,2,75,10
2,65,6,293,14,2,5,1,95,0
1,81,3,974,44,2,4,1,98,2
2,45,9,892,35,2,2,2,17,9
1,9,10,918,195,1,3,2,25,10
1,96,9,669,65,1,5,2,10,5
1,99,5,29,60,1,3,2,74,1
1,76,7,175,68,1,4,1,83,5
2,78,6,63,41,2,4,2,39,6
1,26,1,217,156,2,0,1,64,7
1,33,4,474,185,2,1,1,4,1
1,21,8,319,170,2,2,2,51,7
1,73,7,92,92,1,4,1,12,8
2,80,10,227,101,2,2,2,14,1
1,22,4,619,193,2,1,1,82,4
2,65,1,969,185,1,0,2,23,7
2,52,10,611,120,1,1,2,1,0
2,100,6,481,97,1,3,1,30,7
2,43,0,441,20,1,5,2,61,7
1,48,0,187,125,2,0,1,99,8
2,24,10,148,44,2,4,2,2,2
1,10,3,10,4,2,0,1,52,1
2,100,0,116,76,2,3,1,99,9
2,80,9,966,63,2,5,1,3,9
1,78,1,593,192,2,5,1,79,4
1,32,5,871,107,1,5,1,76,1
2,12,10,617,179,1,0,2,76,7
1,23,7,706,4,2,1,1,71,5
2,28,4,125,60,2,1,1,72,6
2,36,10,708,134,1,0,1,74,4
1,66,9,584,37,1,0,1,104,2
2,85,4,202,13,1,1,1,77,7
2,99,3,496,60,1,2,2,56,0
1,15,4,106,151,2,1,1,83,2
1,16,7,343,51,1,5,1,6,5
1,90,4,904,42,1,3,1,52,4
1,63,9,686,35,1,1,2,9,8
1,28,6,221,172,2,4,1,9,6
1,81,4,980,128,2,3,1,50,6
1,56,3,616,188,2,1,1,42,4
1,85,1,68,66,2,0,1,62,4
1,39,6,519,22,2,5,1,18,5
2,84,3,26,144,1,3,1,85,10
1,17,8,936,177,1,5,1,2,2
1,56,6,724,40,1,2,1,44,7
2,79,5,178,68,1,4,1,77,4
1,28,9,158,123,2,1,2,56,9
2,86,0,61,0,2,5,2,17,2
1,76,3,76,13,2,3,2,40,6
1,29,4,1,15,2,5,1,56,10
2,12,10,552,195,1,2,2,65,8
1,25,0,221,5,1,2,1,6,4
2,96,7,773,137,1,4,1,20,9
2,46,9,751,23,1,4,2,75,7
2,63,10,302,59,1,3,2,83,9
1,9,6,216,78,1,5,1,70,0
1,95,2,442,110,2,1,2,100,9
2,86,7,765,83,1,1,2,86,4
1,4,5,639,151,1,5,2,11,7
2,99,2,222,95,2,4,2,52,4
2,98,4,708,2,1,4,1,89,4
1,63,2,471,190,2,4,2,29,1
1,86,1,164,53,2,2,1,52,7
1,62,6,352,43,2,0,2,102,8
1,12,4,213,116,2,4,1,77,1
1,72,0,450,156,1,0,2,68,2
1,100,2,579,190,2,1,1,48,4
2,19,8,15,169,2,0,2,24,8
1,0,10,490,141,2,3,2,94,10
1,27,7,120,1,1,1,1,27,5
2,84,5,95,3,1,3,1,85,4
2,35,9,757,40,1,5,2,86,6
1,66,5,633,188,1,5,1,9,3
1,87,2,550,45,2,1,1,69,0
2,69,0,347,8,1,3,2,64,3
1,95,6,589,54,2,1,2,101,1
2,66,8,824,105,1,1,2,26,0
1,67,10,710,131,1,4,1,48,8
2,6,10,722,103,2,4,2,76,10
2,87,9,938,190,2,5,1,29,9
2,81,4,377,173,1,1,2,81,0
1,53,3,783,105,1,3,1,11,10
1,0,10,805,154,2,3,1,83,9
1,69,9,909,19,1,5,1,67,1
2,18,4,973,78,1,0,2,98,5
1,64,9,669,195,1,4,1,71,3
1,26,2,434,60,1,2,2,14,3
2,16,9,522,4,1,1,1,87,9
1,91,2,165,188,2,5,2,48,0
2,3,0,715,185,1,1,2,58,0
2,13,5,78,18,2,0,1,34,7
2,33,3,423,15,2,4,2,70,9
1,53,7,930,29,1,4,2,18,7
2,75,1,664,153,2,4,1,59,9
2,49,8,928,45,2,4,1,64,4
1,28,6,965,166,2,0,2,35,6
2,50,6,482,12,2,3,2,44,7
1,69,5,822,56,2,2,2,72,7
2,22,8,539,130,2,2,2,41,9
1,5,8,642,186,1,1,2,20,5
1,5,6,572,153,1,0,1,75,5
1,34,10,241,18,1,4,1,10,5
2,86,8,454,93,1,0,2,29,5
1,80,9,377,84,1,0,2,4,3
1,72,0,663,179,1,4,1,64,3
2,45,2,437,55,2,3,2,31,7
2,41,6,315,5,1,3,1,22,1
1,41,2,496,117,2,3,2,85,3
1,16,3,622,177,1,2,1,54,3
2,7,5,375,42,1,0,2,53,10
1,35,8,162,38,1,2,2,21,4
1,43,2,13,93,1,0,1,23,2
1,41,9,329,111,1,0,2,103,0
1,43,5,252,125,1,3,2,71,3
2,81,8,964,63,2,0,1,40,1
1,23,4,167,20,2,1,2,44,5
2,83,2,349,21,1,5,2,61,1
1,77,6,555,172,2,5,1,88,6
2,74,6,369,86,1,5,1,29,4
1,32,5,333,151,1,2,2,78,8
2,40,7,345,176,2,2,1,13,6
2,45,8,831,34,2,3,2,24,7
2,50,0,101,177,1,2,1,1,1
1,5,8,637,81,1,5,1,79,4
2,28,0,170,128,1,0,2,54,7
2,49,6,581,24,1,3,2,13,9
2,16,7,602,123,1,4,1,53,7
1,66,10,379,115,2,1,2,2,0
2,66,6,338,115,1,3,2,73,8
1,98,6,869,132,1,0,2,32,3
2,23,2,187,29,1,4,1,76,7
2,7,2,25,153,2,3,1,0,0
2,89,5,466,179,2,0,1,5,7
1,98,10,932,88,1,1,2,56,1
2,57,10,815,17,2,4,1,52,6
2,99,1,769,107,1,4,2,15,8
1,22,6,89,28,1,1,2,97,3
2,51,4,198,97,1,5,2,32,4
2,75,6,76,163,2,4,1,77,3
1,52,1,124,113,2,3,1,54,0
2,41,8,182,25,1,4,1,74,7
2,82,4,387,82,1,1,1,99,5
1,100,1,678,115,2,2,1,63,8
2,14,5,307,100,1,3,2,92,5
1,21,9,170,46,1,0,2,56,0
2,0,1,66,68,1,0,2,58,7
2,7,8,357,109,1,4,2,41,3
2,88,0,437,7,2,2,2,28,2
1,17,9,938,43,2,1,2,25,5
1,77,5,933,48,1,1,2,44,4
1,12,9,357,177,2,5,1,24,6
1,35,1,516,143,2,1,2,75,7
1,32,2,117,92,2,1,2,61,4
1,46,2,139,10,1,3,2,85,9
1,53,8,638,41,1,4,2,82,8
1,82,1,569,14,2,0,2,67,3
1,72,10,236,174,2,0,2,69,9
1,34,7,181,124,2,1,1,37,1
2,48,3,74,71,2,2,1,59,9
1,74,0,408,41,2,4,2,90,8
1,24,6,715,16,2,4,2,50,1
2,41,7,277,139,1,1,2,84,3
1,11,3,430,95,1,2,1,13,1
2,61,6,591,86,1,2,2,4,8
2,28,5,284,82,2,5,1,13,0
1,13,6,301,53,1,2,1,3,4
1,44,4,8,124,2,5,2,67,0
1,6,1,722,163,1,3,2,41,4
2,22,8,842,29,2,1,2,22,0
1,3,10,205,178,2,1,1,104,0
1,5,7,918,45,1,3,2,60,9
1,76,1,862,154,2,4,1,46,9
1,67,0,504,119,2,0,1,62,4
2,95,5,898,160,1,1,2,22,1
1,23,9,977,186,2,0,2,58,8
1,73,10,672,47,2,0,1,13,10
1,77,7,590,28,1,5,1,69,9
2,42,9,120,51,2,3,2,68,3
2,60,9,495,65,1,5,1,78,4
2,84,1,596,44,1,0,2,14,1
2,13,7,344,138,1,1,2,30,3
1,100,9,880,100,1,3,2,35,6
1,11,5,35,160,2,0,2,7,2
1,42,0,627,128,2,4,2,3,4
2,65,0,274,131,2,3,2,4,4
1,20,3,814,102,2,3,1,99,3
2,10,7,373,26,1,0,2,23,7
1,23,7,368,1,1,1,2,32,0
1,61,2,108,123,2,3,2,91,8
2,43,10,917,149,1,3,1,0,6
1,71,9,433,148,2,2,1,48,3
2,67,2,317,14,1,5,2,34,0
2,99,2,380,46,1,0,2,91,7
1,67,3,721,82,1,2,1,36,5
1,4,2,526,139,2,4,2,15,7
1,72,9,240,43,2,1,2,33,2
1,34,6,638,137,2,0,1,51,4
1,29,4,314,89,1,0,2,30,9
1,82,4,745,167,2,0,2,64,2
2,68,10,777,88,1,3,1,50,10
2,9,0,754,52,1,3,1,6,5
1,49,5,584,44,2,5,1,0,10
2,9,0,403,94,2,1,2,34,5
2,37,7,124,138,1,4,2,95,4
1,14,3,106,102,2,3,2,31,6
2,5,10,557,34,2,5,1,8,5
1,39,8,86,123,1,4,1,88,4
2,33,2,114,103,1,0,2,98,4
1,23,1,710,112,2,1,1,55,2
2,45,2,368,20,1,2,1,30,7
2,28,3,888,75,1,1,1,30,6
2,30,10,406,62,2,4,1,43,5
1,27,3,309,18,2,5,2,63,3
2,55,3,67,133,1,0,1,44,10
1,71,1,67,129,2,0,2,82,8
2,83,5,327,170,1,0,2,30,3
2,30,10,270,10,1,1,1,70,4
2,32,7,289,99,1,5,2,23,8
2,16,2,296,118,1,3,2,88,2
2,10,6,816,138,1,3,1,35,1
1,60,3,911,119,1,5,2,62,2
1,31,10,536,197,1,2,1,94,4
1,33,1,471,4,2,4,1,2,7
2,25,1,187,17,1,1,1,1,6
1,18,8,519,40,2,1,1,53,6
1,44,7,577,181,1,4,2,15,6
2,81,1,56,122,2,2,1,37,3
2,61,2,417,90,2,1,2,59,2
2,56,1,923,48,1,5,1,3,0
1,26,6,880,22,2,5,1,96,1
2,31,7,962,132,1,3,1,29,10
2,49,7,470,64,2,2,1,97,1
1,53,2,22,61,1,0,1,38,10
1,24,4,398,76,1,1,1,101,4
2,67,2,140,7,1,0,1,100,2
1,63,7,241,67,1,5,2,18,3
2,43,7,377,162,1,2,2,0,3
1,93,5,938,186,2,5,1,80,1
2,77,2,402,104,2,5,1,82,4
1,18,1,381,166,2,5,1,70,6
1,39,2,804,74,2,2,2,97,9
1,20,10,137,62,1,1,2,100,4
1,95,4,711,169,1,0,1,69,3
2,81,3,941,142,2,4,1,4,5
2,0,6,968,182,2,0,2,18,5
1,33,7,573,194,2,0,2,38,4
2,41,5,798,66,2,1,2,51,10
2,49,4,252,22,1,3,1,87,7
2,32,8,923,69,2,2,1,82,2
1,42,9,390,71,1,1,1,40,1
2,52,3,931,140,1,5,2,50,8
2,13,5,84,73,1,2,2,13,0
1,46,5,667,148,1,3,2,14,2
1,29,4,339,49,1,5,2,38,1
1,25,6,366,170,1,0,2,26,1
1,78,7,882,7,2,2,1,38,7
1,88,7,475,146,2,4,2,89,10
1,65,5,441,69,1,2,2,103,2
2,89,1,530,68,2,5,2,14,5
1,95,0,5,47,2,5,1,36,8
2,24,10,876,155,2,3,1,90,2
1,69,8,454,149,2,4,1,104,10
1,50,7,989,89,2,3,2,100,10
1,82,10,667,89,2,2,2,80,8
2,48,4,959,51,1,5,1,11,6
1,52,0,41,168,1,0,2,96,2
1,50,1,406,103,2,5,1,45,10
2,11,7,376,65,1,1,2,37,8
2,67,1,891,65,2,3,2,93,4
2,86,7,302,6,1,0,1,74,0
1,68,8,54,176,1,5,2,37,5
2,85,5,29,131,2,3,1,2,4
1,15,2,580,152,1,4,2,27,8
2,7,0,502,11,1,0,1,41,10
2,4,5,930,107,2,2,2,80,9
2,83,10,682,132,1,0,1,22,6
2,65,6,664,36,1,1,2,57,4
2,61,3,867,131,1,5,1,39,2
2,77,2,192,113,2,0,2,28,9
1,47,3,85,143,2,2,2,1,1
1,95,5,703,28,2,5,1,9,1
2,86,9,745,77,1,2,1,48,4
2,62,9,485,138,1,2,2,33,3
1,25,2,269,76,1,3,2,6,6
2,25,1,793,44,2,4,1,50,6
1,84,0,505,40,2,3,2,90,4
2,78,8,909,199,1,1,2,27,1
2,45,9,375,167,1,5,2,28,8
1,45,4,894,33,1,2,2,81,5
2,77,4,142,165,2,1,2,42,2
1,96,1,465,140,1,5,2,76,7
1,85,3,282,22,2,4,2,0,2
2,61,0,467,81,1,2,1,68,0
2,57,2,178,94,1,1,2,92,3
1,53,0,242,172,2,3,1,67,5
2,15,1,343,1,2,2,2,67,8
2,1,3,182,16,1,3,1,29,0
2,53,5,28,165,2,3,2,18,10
2,31,4,99,94,2,0,2,70,9
2,17,9,657,29,1,4,1,88,0
1,52,4,631,176,1,1,1,7,5
2,32,1,211,147,2,4,1,8,6
2,56,5,288,132,2,3,2,88,2
2,9,10,79,29,2,4,2,51,5
2,95,9,240,44,1,4,1,15,0
1,11,3,71,132,1,0,1,49,5
1,60,8,209,74,2,0,1,3,4
1,54,2,232,172,2,2,2,100,2
2,92,9,724,46,2,5,2,40,10
2,79,6,327,141,1,3,2,20,2
2,55,10,456,89,1,3,2,68,0
2,3,9,177,82,1,5,1,10,5
1,38,3,521,77,2,2,1,95,9
2,98,1,261,74,2,0,1,25,5
1,41,9,635,180,2,1,1,73,9
2,62,9,931,13,1,1,2,97,3
2,66,5,347,18,1,3,1,72,5
1,68,4,689,132,2,1,2,96,5
2,61,0,216,112,1,4,1,63,5
2,12,8,395,55,1,2,2,22,6
2,54,10,894,166,1,0,1,70,7
2,0,9,543,136,2,1,2,56,6
1,54,3,43,137,1,4,2,21,2
1,20,10,196,159,1,0,2,77,8
2,28,9,751,177,1,0,2,21,1
2,69,9,232,29,2,0,1,104,10
2,23,5,719,183,2,1,2,15,7
1,79,8,501,2,2,2,1,6,10
2,67,3,627,8,2,4,1,73,3
1,49,6,755,87,2,4,1,32,2
2,43,10,297,182,2,1,1,69,4
1,66,1,837,16,1,1,2,89,2
1,6,9,735,69,2,2,1,57,8
1,2,7,872,142,2,1,2,81,0
2,8,10,254,169,2,4,2,40,4
1,38,2,391,105,1,1,2,76,6
2,25,2,963,187,2,2,1,34,7
1,89,2,871,156,2,4,2,17,2
1,68,9,87,105,1,1,2,82,3
1,50,7,851,182,1,5,2,56,9
2,96,1,504,35,2,0,2,41,6
2,36,5,103,170,1,2,2,24,7
1,16,9,929,89,1,2,1,91,5
1,9,7,686,41,1,3,1,87,6
2,6,8,914,170,1,0,1,4,2
2,3,10,85,26,2,1,2,19,6
2,45,1,259,83,2,4,1,71,1
1,74,8,209,183,1,4,1,63,10
2,38,1,871,61,2,3,2,93,1
2,1,3,733,151,1,0,2,20,1
2,91,3,87,92,1,4,2,69,5
1,33,9,717,19,1,2,1,44,3
1,59,2,343,70,1,2,2,9,7
1,60,0,627,70,2,3,2,104,8
1,8,9,781,156,2,0,1,4,8
2,95,0,389,89,2,2,1,92,4
2,89,1,764,160,2,5,1,93,2
1,85,4,237,184,1,1,2,53,4
1,19,0,146,172,1,4,2,25,1
2,9,7,483,61,1,1,2,5,10
2,21,3,25,183,1,2,1,75,6
2,33,8,223,172,1,2,1,39,6
2,42,10,152,16,2,4,2,52,2
2,86,7,966,174,2,2,1,59,10
1,9,10,185,32,2,2,1,48,6
